Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-03,AF,Afghanistan,EMRO,0,0,0,0
2020-01-04,AF,Afghanistan,EMRO,0,0,0,0
2020-01-05,AF,Afghanistan,EMRO,0,0,0,0
2020-01-06,AF,Afghanistan,EMRO,0,0,0,0
2020-01-07,AF,Afghanistan,EMRO,0,0,0,0
2020-01-08,AF,Afghanistan,EMRO,0,0,0,0
2020-01-09,AF,Afghanistan,EMRO,0,0,0,0
2020-01-10,AF,Afghanistan,EMRO,0,0,0,0
2020-01-11,AF,Afghanistan,EMRO,0,0,0,0
2020-01-12,AF,Afghanistan,EMRO,0,0,0,0